type;position;n;time;comps
coefficient;nowhere;53000;0.067543;1.911595
coefficient;random;53000;0.087933;1.794350
normal;beginning;54000;1.580000;28.640000
normal;middle;54000;1.480000;28.480000
normal;end;54000;1.140000;27.960000
normal;nowhere;54000;1.040000;30.000000
normal;random;54000;1.300000;28.760000
coefficient;beginning;54000;0.100505;1.821805
coefficient;middle;54000;0.094144;1.811627
coefficient;end;54000;0.072516;1.778550
coefficient;nowhere;54000;0.066155;1.908315
coefficient;random;54000;0.082694;1.829438
normal;beginning;55000;1.300000;28.120000
normal;middle;55000;1.220000;29.440000
normal;end;55000;1.200000;28.720000
normal;nowhere;55000;1.060000;30.000000
normal;random;55000;1.160000;28.600000
coefficient;beginning;55000;0.082555;1.785721
coefficient;middle;55000;0.077474;1.869545
coefficient;end;55000;0.076204;1.823823
coefficient;nowhere;55000;0.067314;1.905107
coefficient;random;55000;0.073664;1.816202
normal;beginning;56000;1.220000;28.560000
normal;middle;56000;1.480000;28.160000
normal;end;56000;1.180000;29.080000
normal;nowhere;56000;1.300000;30.000000
normal;random;56000;1.220000;28.680000
coefficient;beginning;56000;0.077347;1.810673
coefficient;middle;56000;0.093830;1.785314
coefficient;end;56000;0.074811;1.843641
coefficient;nowhere;56000;0.082419;1.901968
coefficient;random;56000;0.077347;1.818281
normal;beginning;57000;1.140000;28.800000
normal;middle;57000;0.980000;29.160000
normal;end;57000;0.920000;28.440000
normal;nowhere;57000;0.800000;30.000000
normal;random;57000;1.100000;28.880000
coefficient;beginning;57000;0.072158;1.822938
coefficient;middle;57000;0.062031;1.845724
coefficient;end;57000;0.058233;1.800151
coefficient;nowhere;57000;0.050637;1.898894
coefficient;random;57000;0.069626;1.828001
normal;beginning;58000;1.000000;27.720000
normal;middle;58000;1.120000;28.280000
normal;end;58000;0.940000;28.680000
normal;nowhere;58000;1.000000;30.000000
normal;random;58000;0.960000;29.160000
coefficient;beginning;58000;0.063196;1.751795
coefficient;middle;58000;0.070780;1.787185
coefficient;end;58000;0.059404;1.812464
coefficient;nowhere;58000;0.063196;1.895883
coefficient;random;58000;0.060668;1.842798
normal;beginning;59000;0.880000;28.800000
normal;middle;59000;0.940000;29.480000
normal;end;59000;0.900000;28.320000
normal;nowhere;59000;0.920000;30.000000
normal;random;59000;0.920000;28.840000
coefficient;beginning;59000;0.055526;1.817215
coefficient;middle;59000;0.059312;1.860121
coefficient;end;59000;0.056788;1.786928
coefficient;nowhere;59000;0.058050;1.892932
coefficient;random;59000;0.058050;1.819739
normal;beginning;60000;0.980000;29.080000
normal;middle;60000;1.280000;29.480000
normal;end;60000;0.880000;29.240000
normal;nowhere;60000;0.800000;30.000000
normal;random;60000;0.920000;28.760000
coefficient;beginning;60000;0.061741;1.832079
coefficient;middle;60000;0.080642;1.857280
coefficient;end;60000;0.055441;1.842160
coefficient;nowhere;60000;0.050401;1.890041
coefficient;random;60000;0.057961;1.811919
normal;beginning;61000;0.960000;28.960000
normal;middle;61000;1.000000;28.480000
normal;end;61000;0.940000;29.040000
normal;nowhere;61000;0.780000;30.000000
normal;random;61000;0.920000;28.240000
coefficient;beginning;61000;0.060391;1.821782
coefficient;middle;61000;0.062907;1.791587
coefficient;end;61000;0.059132;1.826815
coefficient;nowhere;61000;0.049067;1.887205
coefficient;random;61000;0.057874;1.776489
normal;beginning;62000;0.920000;28.280000
normal;middle;62000;0.940000;27.960000
normal;end;62000;0.920000;29.000000
normal;nowhere;62000;0.860000;30.000000
normal;random;62000;0.960000;28.920000
coefficient;beginning;62000;0.057789;1.776384
coefficient;middle;62000;0.059045;1.756284
coefficient;end;62000;0.057789;1.821610
coefficient;nowhere;62000;0.054020;1.884424
coefficient;random;62000;0.060302;1.816585
normal;beginning;63000;0.940000;29.080000
normal;middle;63000;0.900000;28.640000
normal;end;63000;0.860000;28.800000
normal;nowhere;63000;0.840000;30.000000
normal;random;63000;1.000000;28.800000
coefficient;beginning;63000;0.058960;1.823991
coefficient;middle;63000;0.056451;1.796392
coefficient;end;63000;0.053942;1.806428
coefficient;nowhere;63000;0.052687;1.881696
coefficient;random;63000;0.062723;1.806428
normal;beginning;64000;0.880000;29.400000
normal;middle;64000;0.940000;29.160000
normal;end;64000;0.940000;28.520000
normal;nowhere;64000;0.780000;30.000000
normal;random;64000;0.920000;29.360000
coefficient;beginning;64000;0.055118;1.841438
coefficient;middle;64000;0.058876;1.826406
coefficient;end;64000;0.058876;1.786320
coefficient;nowhere;64000;0.048854;1.879018
coefficient;random;64000;0.057623;1.838933
normal;beginning;65000;0.920000;28.400000
normal;middle;65000;0.960000;29.720000
normal;end;65000;0.840000;28.560000
normal;nowhere;65000;0.840000;30.000000
normal;random;65000;0.940000;29.080000
coefficient;beginning;65000;0.057543;1.776315
coefficient;middle;65000;0.060044;1.858876
coefficient;end;65000;0.052539;1.786323
coefficient;nowhere;65000;0.052539;1.876389
coefficient;random;65000;0.058794;1.818847
normal;beginning;66000;0.920000;29.160000
normal;middle;66000;0.880000;28.800000
normal;end;66000;0.920000;28.400000
normal;nowhere;66000;0.700000;32.000000
normal;random;66000;1.000000;29.000000
coefficient;beginning;66000;0.057463;1.821341
coefficient;middle;66000;0.054965;1.798856
coefficient;end;66000;0.057463;1.773872
coefficient;nowhere;66000;0.043722;1.998729
coefficient;random;66000;0.062460;1.811348
normal;beginning;67000;0.940000;28.800000
normal;middle;67000;0.820000;29.640000
normal;end;67000;0.900000;29.440000
normal;nowhere;67000;0.800000;32.000000
normal;random;67000;0.900000;28.880000
coefficient;beginning;67000;0.058633;1.796421
coefficient;middle;67000;0.051148;1.848817
coefficient;end;67000;0.056138;1.836342
coefficient;nowhere;67000;0.049901;1.996024
coefficient;random;67000;0.056138;1.801411
normal;beginning;68000;0.820000;28.280000
normal;middle;68000;0.940000;28.520000
normal;end;68000;0.900000;29.640000
normal;nowhere;68000;0.840000;32.000000
normal;random;68000;0.920000;29.000000
coefficient;beginning;68000;0.051080;1.761637
coefficient;middle;68000;0.058555;1.776588
coefficient;end;68000;0.056063;1.846355
coefficient;nowhere;68000;0.052326;1.993366
coefficient;random;68000;0.057309;1.806488
normal;beginning;69000;0.940000;29.360000
normal;middle;69000;0.960000;29.240000
normal;end;69000;0.820000;29.320000
normal;nowhere;69000;0.860000;32.000000
normal;random;69000;0.920000;29.200000
coefficient;beginning;69000;0.058478;1.826517
coefficient;middle;69000;0.059723;1.819052
coefficient;end;69000;0.051013;1.824029
coefficient;nowhere;69000;0.053502;1.990754
