type;position;n;time;comps
coefficient;beginning;61000;0.066681;1.779006
coefficient;middle;61000;0.072972;1.814233
coefficient;end;61000;0.059132;1.799136
coefficient;nowhere;61000;0.074230;1.887205
coefficient;random;61000;0.066681;1.776489
normal;beginning;62000;0.980000;28.360000
normal;middle;62000;1.000000;28.800000
normal;end;62000;0.960000;27.920000
normal;nowhere;62000;0.880000;30.000000
normal;random;62000;1.080000;28.920000
coefficient;beginning;62000;0.061558;1.781409
coefficient;middle;62000;0.062814;1.809047
coefficient;end;62000;0.060302;1.753771
coefficient;nowhere;62000;0.055276;1.884424
coefficient;random;62000;0.067839;1.816585
normal;beginning;63000;0.980000;28.400000
normal;middle;63000;0.880000;28.800000
normal;end;63000;0.840000;29.280000
normal;nowhere;63000;0.820000;30.000000
normal;random;63000;0.940000;28.800000
coefficient;beginning;63000;0.061469;1.781339
coefficient;middle;63000;0.055196;1.806428
coefficient;end;63000;0.052687;1.836535
coefficient;nowhere;63000;0.051433;1.881696
coefficient;random;63000;0.058960;1.806428
normal;beginning;64000;1.140000;28.840000
normal;middle;64000;0.840000;28.520000
normal;end;64000;0.900000;28.960000
normal;nowhere;64000;0.860000;30.000000
normal;random;64000;0.980000;29.360000
coefficient;beginning;64000;0.071403;1.806363
coefficient;middle;64000;0.052613;1.786320
coefficient;end;64000;0.056371;1.813879
coefficient;nowhere;64000;0.053865;1.879018
coefficient;random;64000;0.061381;1.838933
normal;beginning;65000;0.840000;29.360000
normal;middle;65000;0.880000;28.800000
normal;end;65000;0.840000;29.480000
normal;nowhere;65000;0.820000;30.000000
normal;random;65000;1.000000;29.080000
coefficient;beginning;65000;0.052539;1.836360
coefficient;middle;65000;0.055041;1.801334
coefficient;end;65000;0.052539;1.843865
coefficient;nowhere;65000;0.051288;1.876389
coefficient;random;65000;0.062546;1.818847
normal;beginning;66000;0.880000;29.320000
normal;middle;66000;0.860000;28.720000
normal;end;66000;0.840000;28.280000
normal;nowhere;66000;0.800000;32.000000
normal;random;66000;1.000000;29.000000
coefficient;beginning;66000;0.054965;1.831335
coefficient;middle;66000;0.053716;1.793859
coefficient;end;66000;0.052467;1.766376
coefficient;nowhere;66000;0.049968;1.998729
coefficient;random;66000;0.062460;1.811348
normal;beginning;67000;0.900000;28.520000
normal;middle;67000;0.900000;28.920000
normal;end;67000;0.800000;29.400000
normal;nowhere;67000;0.880000;32.000000
normal;random;67000;0.980000;28.880000
coefficient;beginning;67000;0.056138;1.778956
coefficient;middle;67000;0.056138;1.803906
coefficient;end;67000;0.049901;1.833847
coefficient;nowhere;67000;0.054891;1.996024
coefficient;random;67000;0.061128;1.801411
normal;beginning;68000;0.880000;29.560000
normal;middle;68000;0.900000;28.800000
normal;end;68000;0.840000;29.520000
normal;nowhere;68000;0.820000;32.000000
normal;random;68000;0.960000;29.000000
coefficient;beginning;68000;0.054818;1.841372
coefficient;middle;68000;0.056063;1.794030
coefficient;end;68000;0.052326;1.838880
coefficient;nowhere;68000;0.051080;1.993366
coefficient;random;68000;0.059801;1.806488
normal;beginning;69000;1.100000;29.760000
normal;middle;69000;0.900000;29.880000
normal;end;69000;0.880000;29.320000
normal;nowhere;69000;0.860000;32.000000
normal;random;69000;1.180000;29.200000
coefficient;beginning;69000;0.068432;1.851402
coefficient;middle;69000;0.055990;1.858867
coefficient;end;69000;0.054746;1.824029
coefficient;nowhere;69000;0.053502;1.990754
