type;n;comps;swaps
randomSelect;35300;101712.64;52486.46
select;35400;339388.32;164050.08
randomSelect;35400;98738.86;48259.42
select;35500;334329.38;163956.3
randomSelect;35500;105028.4;50844.12
select;35600;340204.36;165598.14
randomSelect;35600;114908.78;55282.86
select;35700;339819.56;166681.24
randomSelect;35700;106196.68;54605.58
select;35800;337984.3;165377.3
randomSelect;35800;106353.22;53906.88
select;35900;343803.94;166089.14
randomSelect;35900;104245.82;53210.5
select;36000;342392.94;166332.56
randomSelect;36000;109556.58;54849.08
select;36100;345073.6;167792.14
randomSelect;36100;106390.86;53716.5
select;36200;343404.64;167582.64
randomSelect;36200;99179.82;53332.82
select;36300;344366.06;168591.72
randomSelect;36300;104992.96;47106.9
select;36400;342686.88;168816.98
randomSelect;36400;102242.66;46523.46
select;36500;349194.3;169542.58
randomSelect;36500;111152.5;52856.12
select;36600;350250.62;170415.72
randomSelect;36600;104982.42;51012.1
select;36700;349792.42;170266.38
randomSelect;36700;113863.7;55201.42
select;36800;352148.04;171545.98
randomSelect;36800;110684.56;60534.64
select;36900;349985.68;171125.3
randomSelect;36900;103335.44;52275.9
select;37000;352283.14;171709.64
randomSelect;37000;104099.84;53431.62
select;37100;356650.82;173092.24
randomSelect;37100;107626.24;57459.34
select;37200;353621.4;173021.92
randomSelect;37200;108659.5;55294.88
select;37300;355839.06;173040.86
randomSelect;37300;108737.54;55824.78
select;37400;356935.78;173603.66
randomSelect;37400;108207.66;54900.64
select;37500;355091.46;173371.78
randomSelect;37500;105981.24;52622.64
select;37600;355071.8;174073.36
randomSelect;37600;115747.14;59734.68
select;37700;356570.46;175600.84
randomSelect;37700;107163.82;53406.32
select;37800;361033.7;175710.34
randomSelect;37800;124203.4;62835.56
select;37900;359958.8;176204.24
randomSelect;37900;103549.8;53687.82
select;38000;361154.68;176266.22
randomSelect;38000;107732.74;56372.14
select;38100;363017.12;177599.36
randomSelect;38100;118203.38;60327.08
select;38200;362879.5;176682.22
randomSelect;38200;113665.32;56418.8
select;38300;366022.22;178150.44
randomSelect;38300;112641.96;52732.54
select;38400;359904.38;176099.52
randomSelect;38400;115851.58;56168.96
select;38500;368926.06;179208.96
randomSelect;38500;123373.58;56950.36
select;38600;364607.32;179223.24
randomSelect;38600;116489.6;56301.82
select;38700;367120.7;180144.92
randomSelect;38700;107027.82;52492.54
select;38800;369375.68;180061.08
randomSelect;38800;124913.22;63707.66
select;38900;369094.08;180246.38
randomSelect;38900;117001.32;59525.34
select;39000;372011.76;181565.14
randomSelect;39000;115555.68;58713.98
select;39100;370894.2;181262.44
randomSelect;39100;112798.04;60471.5
select;39200;371817.42;181262.48
