type;n;comps;swaps;time
select7;6400;59447.22;31628.52;0.1966506415605545
select9;6400;62712.12;35634.96;0.19418828129768373
select3;6500;66558.46;30953.18;0.24854857683181764
select5;6500;59826.78;29459.02;0.2104821217060089
select7;6500;60013.04;31934.04;0.19732485890388488
select9;6500;63612.54;36111.86;0.19563736140727997
select3;6600;69385.04;31782.4;0.26390577912330626
select5;6600;60950.92;29794.42;0.2133603000640869
select7;6600;61595.68;32785.5;0.20275289714336395
select9;6600;64652.82;36921.02;0.19958843767642975
select3;6700;70213.0;31873.78;0.2551567578315735
select5;6700;62758.02;30310.92;0.21722564041614534
select7;6700;62142.74;32991.4;0.20471228420734405
select9;6700;65594.38;37301.02;0.2007516008615494
select3;6800;70982.2;32540.1;0.26096062242984774
select5;6800;63441.54;30927.56;0.2210711395740509
select7;6800;63277.76;33414.38;0.20811715960502625
select9;6800;66492.36;38021.04;0.20504555940628053
select3;6900;72493.02;33106.6;0.2642573791742325
select5;6900;63932.66;31149.34;0.22312009930610657
select7;6900;64276.6;34175.6;0.21202325999736785
select9;6900;67520.92;38536.46;0.2077889198064804
select3;7000;72490.14;33219.22;0.265623836517334
select5;7000;64180.06;31537.46;0.2244291216135025
select7;7000;65837.04;34682.06;0.21514411509037018
select9;7000;68454.56;39075.96;0.20997210264205932
select3;7100;74256.36;33868.58;0.27715171813964845
select5;7100;66395.44;32187.28;0.23118221879005432
select7;7100;67066.2;35244.12;0.2205711793899536
select9;7100;69773.92;39725.36;0.21621582090854644
select3;7200;74913.92;34655.56;0.27748753666877746
select5;7200;66116.82;32413.24;0.2315777999162674
select7;7200;66904.32;35486.02;0.2207394391298294
select9;7200;71073.6;40593.12;0.2189020800590515
select3;7300;76244.78;35023.0;0.2827035814523697
select5;7300;68100.9;33147.02;0.23732702314853668
select7;7300;67936.84;36113.94;0.22523144125938416
select9;7300;71910.28;40948.6;0.2211245381832123
select3;7400;76742.28;35376.14;0.2957201015949249
select5;7400;68615.8;33482.58;0.24595711827278138
select7;7400;69238.54;36572.08;0.23311040043830872
select9;7400;72718.42;41467.5;0.22965437948703765
select3;7500;79169.26;36030.78;0.2946409809589386
select5;7500;68660.56;33768.04;0.24136045813560486
select7;7500;69323.58;36682.88;0.23177044093608856
select9;7500;74030.32;41976.38;0.22951300024986268
select3;7600;79577.64;36655.12;0.3050674206018448
select5;7600;70290.3;34362.3;0.24666370034217835
select7;7600;70658.88;37512.52;0.2332272410392761
select9;7600;73884.7;42340.14;0.2299551385641098
select3;7700;80831.3;36811.86;0.2974472212791443
select5;7700;71819.92;35126.88;0.2519355624914169
select7;7700;72132.02;38166.36;0.23732577860355378
select9;7700;76324.78;43217.98;0.2331124997138977
select3;7800;81875.48;37497.88;0.3020073574781418
select5;7800;72852.42;35639.06;0.2545118188858032
select7;7800;72848.96;38536.16;0.2408175402879715
select9;7800;77225.9;43762.54;0.23600225925445556
select3;7900;81853.82;37751.26;0.30432929754257204
select5;7900;73593.76;35837.54;0.25789917826652525
select7;7900;73601.16;39060.16;0.24285392105579376
select9;7900;77347.24;44060.26;0.23861782133579254
select3;8000;82921.3;37959.66;0.3070290583372116
select5;8000;73982.28;36434.9;0.2608264607191086
select7;8000;76072.48;39866.34;0.24809944093227387
select9;8000;79000.14;44609.2;0.24311842083930968
select3;8100;85195.28;38937.4;0.31442124009132383
select5;8100;75212.96;36908.56;0.26306942105293274
select7;8100;75618.64;40216.36;0.2498709201812744
select9;8100;79668.6;45577.04;0.24581434190273285
select3;8200;86423.82;39458.08;0.31741093814373017
select5;8200;76420.28;37216.56;0.2671444594860077
select7;8200;76701.86;40722.32;0.2528614205121994
select9;8200;80689.52;45802.86;0.2477559769153595
select3;8300;86959.72;39818.92;0.32107418060302734
select5;8300;77648.04;37822.86;0.26902985990047457
select7;8300;78158.58;41289.66;0.2558587402105331
select9;8300;82257.46;46448.42;0.25197216391563415
select3;8400;88048.92;40297.32;0.3250021624565125
select5;8400;78008.8;38296.88;0.2735275012254715
select7;8400;77792.64;41880.66;0.2599845391511917
select9;8400;83104.1;47278.56;0.2543741202354431
